"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Brooklyn Nets","Claxton, Nic","Out","Injury/Illness - N/a; Illness (Non-Covid)"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Brooklyn Nets","Duke Jr., David","Out","G League - Two-Way"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Brooklyn Nets","Edwards, Kessler","Out","G League - Two-Way"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Brooklyn Nets","Irving, Kyrie","Out","Not With Team"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Brooklyn Nets","Sharpe, Day'Ron","Out","G League - On Assignment"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Brooklyn Nets","Thomas, Cam","Out","G League - On Assignment"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Detroit Pistons","Garza, Luka","Available","-"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Detroit Pistons","Hayes, Killian","Out","Injury/Illness - Left Thumb; Sprain"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Detroit Pistons","Lee, Saben","Available","-"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Detroit Pistons","Livers, Isaiah","Out","Injury/Illness - Right Foot; Injury recovery"
"2021-11-05","2021-11-05","07:00 (ET)","BKN@DET","Detroit Pistons","Smith, Chris","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-11-05","2021-11-05","07:00 (ET)","MEM@WAS","Memphis Grizzlies","Brooks, Dillon","Out","Injury/Illness - Left Hand; Fracture Recovery"
"2021-11-05","2021-11-05","07:00 (ET)","MEM@WAS","Washington Wizards","Ayayi, Joel","Out","G League - Two-Way"
"2021-11-05","2021-11-05","07:00 (ET)","MEM@WAS","Washington Wizards","Bertans, Davis","Out","Injury/Illness - Left Ankle; Left ankle sprain"
"2021-11-05","2021-11-05","07:00 (ET)","MEM@WAS","Washington Wizards","Bryant, Thomas","Out","Injury/Illness - Left Knee; Left ACL injury recovery"
"2021-11-05","2021-11-05","07:00 (ET)","MEM@WAS","Washington Wizards","Gill, Anthony","Out","Injury/Illness - Right Calf; Right calf strain"
"2021-11-05","2021-11-05","07:00 (ET)","MEM@WAS","Washington Wizards","Hachimura, Rui","Out","Not With Team"
"2021-11-05","2021-11-05","07:00 (ET)","MEM@WAS","Washington Wizards","Todd, Isaiah","Out","G League - On Assignment"
